source_domain,old_url,title,published_at,word_count,new_slug,new_url,city_slug,keep_as_is,merge_into_slug
https://devis-demenageur-nice.fr,https://devis-demenageur-nice.fr/blog/satellites/aide-manutention-demenagement-nice/,"Aide Manutention Déménagement Nice : Amis, Pros, Étudiants 2025",,1931,aide-manutention-demenagement-nice,https://moverz.fr/blog/aide-manutention-demenagement-nice/,nice,FALSE,aide-manutention-demenagement-nice
https://devis-demenageur-parisien.fr,https://devis-demenageur-parisien.fr/blog/satellites/aide-manutention-demenagement-nice/,"Aide Manutention Déménagement Nice : Amis, Pros, Étudiants 2025",,1931,aide-manutention-demenagement-nice,https://moverz.fr/blog/aide-manutention-demenagement-nice/,nice,FALSE,aide-manutention-demenagement-nice
https://devis-demenageur-reims.fr,https://devis-demenageur-reims.fr/blog/satellites/aide-manutention-demenagement-nice/,"Aide Manutention Déménagement Nice : Amis, Pros, Étudiants 2025",,1931,aide-manutention-demenagement-nice,https://moverz.fr/blog/aide-manutention-demenagement-nice/,nice,FALSE,aide-manutention-demenagement-nice
https://devis-demenageur-toulon.fr,https://devis-demenageur-toulon.fr/blog/satellites/aide-manutention-demenagement-nice/,"Aide Manutention Déménagement Nice : Amis, Pros, Étudiants 2025",,1931,aide-manutention-demenagement-nice,https://moverz.fr/blog/aide-manutention-demenagement-nice/,nice,FALSE,aide-manutention-demenagement-nice
https://devis-demenageur-tours.fr,https://devis-demenageur-tours.fr/blog/satellites/aide-manutention-demenagement-nice/,"Aide Manutention Déménagement Nice : Amis, Pros, Étudiants 2025",,1931,aide-manutention-demenagement-nice,https://moverz.fr/blog/aide-manutention-demenagement-nice/,nice,FALSE,aide-manutention-demenagement-nice
https://devis-demenageur-angers.fr,https://devis-demenageur-angers.fr/blog/satellites/aide-pole-emploi-demenagement-nice/,Aide Pôle Emploi Déménagement Nice : Mobilité Professionnelle 2025,,1999,aide-pole-emploi-demenagement-nice,https://moverz.fr/blog/aide-pole-emploi-demenagement-nice/,nice,TRUE,
https://devis-demenageur-clermont-ferrand.fr,https://devis-demenageur-clermont-ferrand.fr/blog/satellites/aide-pole-emploi-demenagement-nice/,Aide Pôle Emploi Déménagement Nice : Mobilité Professionnelle 2025,,1999,aide-pole-emploi-demenagement-nice,https://moverz.fr/blog/aide-pole-emploi-demenagement-nice/,nice,FALSE,aide-pole-emploi-demenagement-nice
https://devis-demenageur-dijon.fr,https://devis-demenageur-dijon.fr/blog/satellites/aide-pole-emploi-demenagement-nice/,Aide Pôle Emploi Déménagement Nice : Mobilité Professionnelle 2025,,1999,aide-pole-emploi-demenagement-nice,https://moverz.fr/blog/aide-pole-emploi-demenagement-nice/,nice,FALSE,aide-pole-emploi-demenagement-nice
https://devis-demenageur-ile-de-france.fr,https://devis-demenageur-ile-de-france.fr/blog/satellites/aide-pole-emploi-demenagement-nice/,Aide Pôle Emploi Déménagement Nice : Mobilité Professionnelle 2025,,1999,aide-pole-emploi-demenagement-nice,https://moverz.fr/blog/aide-pole-emploi-demenagement-nice/,nice,FALSE,aide-pole-emploi-demenagement-nice
https://devis-demenageur-le-havre.fr,https://devis-demenageur-le-havre.fr/blog/satellites/aide-pole-emploi-demenagement-nice/,Aide Pôle Emploi Déménagement Nice : Mobilité Professionnelle 2025,,1999,aide-pole-emploi-demenagement-nice,https://moverz.fr/blog/aide-pole-emploi-demenagement-nice/,nice,FALSE,aide-pole-emploi-demenagement-nice
